AL,KEET,173.0,33.18333333333333,-86.78333333333333
AL,K8A0,315.0,34.233333333333334,-86.25
AL,KALX,198.0,32.916666666666664,-85.96666666666667
AL,K79J,94.0,31.316666666666666,-86.4
AL,KANB,187.0,33.583333333333336,-85.85
AL,KAUB,198.0,32.6,-85.5
AL,KAUO,231.0,32.61666666666667,-85.43333333333334
AL,KEKY,213.0,33.31666666666667,-86.93333333333334
AL,KBHM,191.0,33.56666666666667,-86.75
AL,KOZR,93.0,31.283333333333335,-85.71666666666667
AL,K0A8,77.0,32.93333333333333,-87.08333333333333
AL,K9A4,179.0,34.666666666666664,-87.35
AL,K3A1,294.0,34.266666666666666,-86.85
AL,KCMD,294.0,34.266666666666666,-86.85
AL,KDCU,176.0,34.65,-86.95
AL,KDYA,34.0,32.46666666666667,-87.95
AL,KDHN,113.0,31.316666666666666,-85.45
AL,KEDN,110.0,31.3,-85.9
AL,KEUF,87.0,31.95,-85.13333333333334
AL,KGZH,78.0,31.416666666666668,-87.05
AL,KCQF,28.0,30.466666666666665,-87.88333333333334
AL,K0J4,96.0,31.05,-86.31666666666666
AL,K4A9,267.0,34.46666666666667,-85.71666666666667
AL,KSXS,122.0,31.366666666666667,-85.85
AL,KHEY,97.0,31.35,-85.65
AL,KGAD,173.0,33.96666666666667,-86.06666666666666
AL,KPRN,138.0,31.85,-86.61666666666666
AL,KJKA,5.0,30.283333333333335,-87.66666666666667
AL,K1M4,284.0,34.28333333333333,-87.6
AL,KHSV,191.0,34.65,-86.78333333333333
AL,KMDQ,230.0,34.86666666666667,-86.55
AL,KJFX,148.0,33.9,-87.31666666666666
AL,KLOR,74.0,31.35,-85.75
AL,KA08,69.0,32.516666666666666,-87.38333333333334
AL,KMXF,51.0,32.36666666666667,-86.36666666666666
AL,KBFM,20.0,30.616666666666667,-88.06666666666666
AL,KMOB,63.0,30.683333333333334,-88.25
AL,KMGM,63.0,32.3,-86.4
AL,KMSL,164.0,34.75,-87.6
AL,KPLR,148.0,33.56666666666667,-86.25
AL,KRAM,10.0,29.05,-88.08333333333333
AL,K1A9,69.0,32.43333333333333,-86.51666666666667
AL,KHUA,209.0,34.68333333333333,-86.68333333333334
AL,K4A6,198.0,34.68333333333333,-86.0
AL,KSEM,51.0,32.35,-86.98333333333333
AL,KSCD,173.0,33.166666666666664,-86.3
AL,KASN,162.0,33.56666666666667,-86.05
AL,KTOI,118.0,31.85,-86.01666666666667
AL,KTCL,49.0,33.21666666666667,-87.61666666666666
AL,KVOA,53.0,29.233333333333334,-87.78333333333333
AR,KADF,56.0,34.1,-93.06666666666666
AR,KBVX,141.0,35.733333333333334,-91.65
AR,KH00,395.0,36.35,-94.21666666666667
AR,KVBT,395.0,36.35,-94.21666666666667
AR,KXNA,392.0,36.28333333333333,-94.3
AR,KHKA,78.0,35.93333333333333,-89.83333333333333
AR,KBYH,78.0,35.96666666666667,-89.95
AR,KSUZ,119.0,34.583333333333336,-92.48333333333333
AR,KCDH,35.0,33.61666666666667,-92.76666666666667
AR,KCXW,84.0,35.016666666666666,-92.55
AR,KCCA,157.0,35.6,-92.45
AR,K3K8,636.0,37.21666666666667,-99.33333333333333
AR,K4M9,90.0,36.4,-90.65
AR,KDEQ,106.0,34.05,-94.4
AR,KELD,81.0,33.21666666666667,-92.81666666666666
AR,KFYV,379.0,36.016666666666666,-94.16666666666667
AR,KFLP,219.0,36.28333333333333,-92.58333333333333
AR,KFSM,140.0,35.333333333333336,-94.36666666666666
AR,KHRO,417.0,36.266666666666666,-93.15
AR,KHOT,162.0,34.483333333333334,-93.1
AR,KJBR,79.0,35.833333333333336,-90.65
AR,KLIT,79.0,34.733333333333334,-92.23333333333333
AR,KLRF,95.0,34.916666666666664,-92.15
AR,KMEZ,329.0,34.55,-94.2
AR,KAWM,65.0,35.13333333333333,-90.23333333333333
AR,KLLQ,83.0,33.63333333333333,-91.75
AR,KMWT,214.0,34.55,-93.58333333333333
AR,KBPK,280.0,36.36666666666667,-92.46666666666667
AR,KLZK,173.0,34.833333333333336,-92.26666666666667
AR,KM19,73.0,35.65,-91.16666666666667
AR,KPBF,62.0,34.18333333333333,-91.93333333333334
AR,KROG,415.0,36.36666666666667,-94.08333333333333
AR,KRUE,115.0,35.25,-93.1
AR,KSRC,80.0,35.21666666666667,-91.73333333333333
AR,KSLG,300.0,36.2,-94.46666666666667
AR,KASG,412.0,36.166666666666664,-94.11666666666666
AR,KSGT,68.0,34.6,-91.56666666666666
AR,KTXK,111.0,33.45,-93.98333333333333
AR,KARG,83.0,36.11666666666667,-90.91666666666667
AZ,KPHX,336.0,33.43333333333333,-112.01666666666667
AZ,KTUS,776.0,32.13333333333333,-110.95
AZ,KA39,396.0,32.983333333333334,-111.91666666666667
AZ,KBXK,315.0,33.416666666666664,-112.68333333333334
AZ,KIFP,212.0,35.15,-114.56666666666666
AZ,KCGZ,446.0,32.95,-111.76666666666667
AZ,KIWA,412.0,33.3,-111.65
AZ,KCHD,379.0,33.266666666666666,-111.81666666666666
AZ,KAZC,1486.0,36.96666666666667,-113.01666666666667
AZ,KP08,481.0,32.93333333333333,-111.43333333333334
AZ,KDMA,824.0,32.166666666666664,-110.86666666666666
AZ,KDUG,1265.0,31.466666666666665,-109.58333333333333
AZ,KFLG,2134.0,35.13333333333333,-111.66666666666667
AZ,KFHU,1438.0,31.583333333333332,-110.35
AZ,KGXF,262.0,32.86666666666667,-112.71666666666667
AZ,KGEU,325.0,33.53333333333333,-112.3
AZ,KLGF,132.0,32.86666666666667,-114.4
